name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,501700,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-05-16T01:53:53Z
sindresorhus/awesome,466754,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-05-16T02:05:44Z
freeCodeCamp/freeCodeCamp,444820,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-05-16T02:05:15Z
public-apis/public-apis,435180,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-05-16T02:08:13Z
EbookFoundation/free-programming-books,388379,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-05-16T01:45:59Z
openclaw/openclaw,372200,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-05-16T02:07:15Z
nilbuild/developer-roadmap,354819,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-05-16T01:46:42Z
donnemartin/system-design-primer,348771,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-05-16T02:06:02Z
jwasham/coding-interview-university,346793,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-05-16T01:13:35Z
vinta/awesome-python,297847,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-05-16T01:52:29Z
