coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,77634.0,1558671629839.437,-2.564381116093705,2026-08-29T04:55:09.272114,📉
ethereum,2439.15,294413697644.22577,-1.9392563773158418,2026-08-29T04:55:09.272123,📉
cardano,0.201024,7537764739.71919,-4.342393015558811,2026-08-29T04:55:09.272125,📉
solana,103.87,60672504879.902016,-2.768395957094517,2026-08-29T04:55:09.272126,📉
polkadot,0.844109,1434859005.7774189,-2.9604254692849845,2026-08-29T04:55:09.272127,📉
