title,url,score,comments,by,hn_url
Mesh LLM: distributed AI computing on iroh,https://www.iroh.computer/blog/mesh-llm,89,22,tionis,https://news.ycombinator.com/item?id=48876505
Show HN: Ant – A JavaScript runtime and ecosystem,https://antjs.org,178,77,theMackabu,https://news.ycombinator.com/item?id=48875377
"RISCBoy is an open-source portable games console, designed from scratch",https://github.com/Wren6991/RISCBoy,60,16,mariuz,https://news.ycombinator.com/item?id=48876245
A dock that wakes up reliably,https://fabiensanglard.net/tb4/index.html,15,12,ingve,https://news.ycombinator.com/item?id=48877269
Long Covid May Physically Damage the Nerves That Control the Stomach,https://www.ijidonline.com/article/S1201-9712(26)00608-9/fulltext,27,3,thenerdhead,https://news.ycombinator.com/item?id=48877192
"Nvidia, CoreWeave, and Nebius: Inside the Circular Financing of the GPU Boom",https://io-fund.com/ai-stocks/nvidia-coreweave-nebius-circular-financing-gpu-boom,159,57,adletbalzhanov,https://news.ycombinator.com/item?id=48873836
A pure scheme web programming tool,https://goeteia.dev,5,1,guenchi,https://news.ycombinator.com/item?id=48877314
I Did Not Kill Stanley Lieber: How to Draw (With 9front),https://triapul.cz/automa/i_did_not_kill_stanley_lieber,6,1,c-c-c-c-c,https://news.ycombinator.com/item?id=48846177
A public ledger of cloud outages and the SLA credits they trigger,https://slacreditwatch.com,12,3,devd1976,https://news.ycombinator.com/item?id=48877009
Billions of Sketches Reveal Hidden Cultural Variation in Human Concepts,https://arxiv.org/abs/2607.07267,50,5,Anon84,https://news.ycombinator.com/item?id=48849744
