name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,460606,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-01-26T01:11:18Z
freeCodeCamp/freeCodeCamp,436280,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-01-26T01:03:33Z
sindresorhus/awesome,432016,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-01-26T01:10:20Z
public-apis/public-apis,393429,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-01-26T01:02:11Z
EbookFoundation/free-programming-books,381051,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-01-26T00:32:09Z
kamranahmedse/developer-roadmap,347921,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-01-26T00:46:32Z
jwasham/coding-interview-university,336229,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-01-25T23:59:55Z
donnemartin/system-design-primer,333355,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-01-26T01:03:34Z
vinta/awesome-python,279890,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-01-26T00:54:46Z
996icu/996.ICU,275304,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2026-01-26T01:00:04Z
