title,url,score,comments,by,hn_url
Codex Security,https://github.com/openai/codex-security,340,101,bakigul,https://news.ycombinator.com/item?id=49089755
Half-Life ported to Mac OS 9,https://mac-classic.com/news/half-life-ported-to-mac-os-9/,144,61,freediver,https://news.ycombinator.com/item?id=49089814
"Show HN: I was tired of opening 2 tabs for every HN link, so I made a userscript",https://github.com/twalichiewicz/HNewhere,120,40,twalichiewicz,https://news.ycombinator.com/item?id=49090607
"Substack writers, you need a website",https://elizabethtai.com/2026/06/10/substack-writers-you-need-a-website/,415,213,speckx,https://news.ycombinator.com/item?id=49086788
The Difference Between a Button and a Link,https://unplannedobsolescence.com/blog/buttons-vs-links/,28,11,alexpetros,https://news.ycombinator.com/item?id=49091738
Teach yourself programming in ten years (1998),https://www.norvig.com/21-days.html,38,4,vinhnx,https://news.ycombinator.com/item?id=49055816
Hubble: Open-source notetaking app for you and your agents,https://www.hubble.md/,26,6,handfuloflight,https://news.ycombinator.com/item?id=49091730
Steel Bank Common Lisp version 2.6.7,https://sbcl.org/all-news.html?2.6.7,196,82,tmtvl,https://news.ycombinator.com/item?id=49086971
Lightweight Spring Boot Monitoring Without Prometheus and Grafana,https://pvrlabs.xyz/articles/lightweight-spring-boot-monitoring.html,10,0,ejboy,https://news.ycombinator.com/item?id=49091895
Kimi K3 Architecture Overview and Notes,https://sebastianraschka.com/blog/2026/kimi-k3-architecture-notes.html,312,41,ModelForge,https://news.ycombinator.com/item?id=49085698
