title,url,score,comments,by,hn_url
"Since Chromium 148, Math.tanh is now fingerprintable to link underlying OS",https://scrapfly.dev/posts/browser-math-os-fingerprint/,305,152,joahnn_s,https://news.ycombinator.com/item?id=48884853
"Cyberpunk Comics, Manga and Graphic Novels",https://shellzine.net/cyberpunk-comics/,74,15,zdw,https://news.ycombinator.com/item?id=48885643
Tiny Emulators,https://floooh.github.io/tiny8bit-preview/index.html,145,7,naves,https://news.ycombinator.com/item?id=48884395
Designing and assembling my first PCB,https://vilkeliskis.com/b/2026/0711.html,46,4,tadasv,https://news.ycombinator.com/item?id=48885728
"So you want to learn physics (second edition, 2021)",https://www.susanrigetti.com/physics,97,9,azhenley,https://news.ycombinator.com/item?id=48827126
"A Peek Inside Jim Henson's Creature Shop, Where Whimsical Puppets Are Designed",https://www.smithsonianmag.com/travel/a-peek-inside-jim-hensons-creature-shop-where-sesame-street-characters-and-other-whimsical-puppets-are-designed-180989051/,17,0,pseudolus,https://news.ycombinator.com/item?id=48818314
Ask HN: What Are You Working On? (July 2026),https://news.ycombinator.com/item?id=48884984,76,191,david927,https://news.ycombinator.com/item?id=48884984
Why Vanilla JavaScript,https://guseyn.com/html/posts/why-vanilla-js.html,39,17,guseyn,https://news.ycombinator.com/item?id=48885705
Ask HN: Add flag for AI-generated articles,https://news.ycombinator.com/item?id=48886741,26,7,levkk,https://news.ycombinator.com/item?id=48886741
"Old and new apps, via modern coding agents",https://terrytao.wordpress.com/2026/07/11/old-and-new-apps-via-modern-coding-agents/,413,120,subset,https://news.ycombinator.com/item?id=48880170
