name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,496017,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-04-26T01:56:21Z
sindresorhus/awesome,458998,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-04-26T01:55:39Z
freeCodeCamp/freeCodeCamp,443557,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-04-26T01:50:09Z
public-apis/public-apis,426481,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-04-26T01:55:11Z
EbookFoundation/free-programming-books,386041,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-04-26T01:50:34Z
openclaw/openclaw,363934,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-04-26T01:54:27Z
nilbuild/developer-roadmap,353640,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-04-26T01:39:14Z
donnemartin/system-design-primer,344302,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-04-26T01:47:14Z
jwasham/coding-interview-university,342668,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-04-26T01:52:02Z
vinta/awesome-python,294394,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-04-26T01:55:09Z
