name,stars,language,description,url,created_at
MengTo/threeui,3452,HTML,Open-source ThreeUI Community catalog with live interactive components and complete Community source,https://github.com/MengTo/threeui,2026-08-21T11:56:39Z
b-nnett/grok-bot-0.18-reconstructed,1726,TypeScript,Unofficial source-oriented reconstruction and extension of Grok Bot 0.18.0 for macOS,https://github.com/b-nnett/grok-bot-0.18-reconstructed,2026-08-23T20:53:01Z
duty1g/x64dbg-mcp-server,1224,Zig,x64dbg-MCP Server is a native MCP (Model Context Protocol) plugin for x64dbg that exposes the debugg,https://github.com/duty1g/x64dbg-mcp-server,2026-08-22T14:28:41Z
tobi/walgit,1050,Rust,No description,https://github.com/tobi/walgit,2026-08-23T22:28:01Z
cclank/lanshu-create-ai-presenter-video,837,Python,Provider-neutral Codex Skill for producing verified AI presenter videos from a script and an authori,https://github.com/cclank/lanshu-create-ai-presenter-video,2026-08-20T13:40:06Z
ShadowAqueduct/watermark-remover,768,Python,"Purge multi-vendor AI watermarks: clean Unicode text, apply statistical rewrite hooks, and clear C2P",https://github.com/ShadowAqueduct/watermark-remover,2026-08-23T21:14:28Z
nateherkai/scroll-craft,632,JavaScript,"Claude Code skill for premium scroll-driven websites. Scroll becomes the timeline, on a real design ",https://github.com/nateherkai/scroll-craft,2026-08-22T15:25:08Z
missuo/herdrm,622,Swift,"Native macOS console for herdr — all your coding agents and their live terminals, across devices",https://github.com/missuo/herdrm,2026-08-19T06:55:39Z
lanicer/cve-2026-41940-PoC,528,Python,A cPanel and WHM authentication bypassing tool,https://github.com/lanicer/cve-2026-41940-PoC,2026-08-19T12:46:46Z
Forsy-AI/biosecurity-agent,513,TypeScript,AI agent that builds a live biosecurity world around any target.,https://github.com/Forsy-AI/biosecurity-agent,2026-08-22T23:06:26Z
