name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,473408,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-09T01:17:50Z
sindresorhus/awesome,443788,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-09T01:16:43Z
freeCodeCamp/freeCodeCamp,437911,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-09T01:18:30Z
public-apis/public-apis,405591,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-09T01:17:48Z
EbookFoundation/free-programming-books,383774,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-09T00:59:40Z
kamranahmedse/developer-roadmap,350501,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-09T00:58:01Z
donnemartin/system-design-primer,338031,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-09T01:17:29Z
jwasham/coding-interview-university,337698,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-09T01:14:17Z
vinta/awesome-python,286238,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-09T01:17:25Z
openclaw/openclaw,280796,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-09T01:19:13Z
