name,stars,language,description,url,created_at
MoonshotAI/Kimi-K3,7542,N/A,Open Frontier Intelligence,https://github.com/MoonshotAI/Kimi-K3,2026-07-27T08:01:37Z
mshumer/Claude-of-Duty,2406,JavaScript,"A Call of Duty-quality FPS in Three.js, built from a single prompt.",https://github.com/mshumer/Claude-of-Duty,2026-07-25T19:32:36Z
VictorTaelin/OptMem,934,Python,"Permanent memory for AI agents. A 426-token prompt, a script, plug and play.",https://github.com/VictorTaelin/OptMem,2026-07-25T16:58:43Z
xikhar/persona,676,JavaScript,Bringing real-time voice to life.,https://github.com/xikhar/persona,2026-07-28T11:40:19Z
0xwilliamortiz/ponytail-improved,564,JavaScript,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you nev,https://github.com/0xwilliamortiz/ponytail-improved,2026-07-28T14:16:19Z
0xwilliamortiz/openclaude-improved,562,TypeScript,runs anywhere. uses anything,https://github.com/0xwilliamortiz/openclaude-improved,2026-07-26T21:58:28Z
talivia-group/talivia,489,TypeScript,"Open-source, self-hosted revenue-first analytics for founders: web analytics, Session Replay, revenu",https://github.com/talivia-group/talivia,2026-07-29T07:56:49Z
gavamedia/deltafin,482,Python,Run full Kimi K3 on a single device. And an OpenAI-compatible API server for local chat and coding a,https://github.com/gavamedia/deltafin,2026-07-28T01:01:23Z
NikolayS/PGSimCity,440,TypeScript,An explorable 3D city that shows how Postgres actually works,https://github.com/NikolayS/PGSimCity,2026-07-25T22:15:09Z
wassgha/rescript,405,TypeScript,"🎬 Open source, transcript-based video/audio editor that lives in the browser.",https://github.com/wassgha/rescript,2026-07-26T22:43:11Z
