title,url,score,comments,by,hn_url
Inkling: Our Open-Weights Model,https://thinkingmachines.ai/news/introducing-inkling/,681,176,vimarsh6739,https://news.ycombinator.com/item?id=48924912
SQLite should have (Rust-style) editions,https://mort.coffee/home/sqlite-editions/,115,44,gnyeki,https://news.ycombinator.com/item?id=48928135
Grok Build is open source,https://github.com/xai-org/grok-build,257,302,skp1995,https://news.ycombinator.com/item?id=48926590
"Governments, companies, nonprofits should invest in free, open source AI [pdf]",https://www.siegelendowment.org/wp-content/uploads/2026/07/fortune-david-siegel-open-source-ai.pdf,87,32,bilsbie,https://news.ycombinator.com/item?id=48927095
"Metal-Organic Frameworks, Chemistry's New Miracle Materials (2018)",https://chemistry.berkeley.edu/news/meet-metal-organic-frameworks-chemistry%E2%80%99s-new-miracle-materials,36,10,andsoitis,https://news.ycombinator.com/item?id=48928313
Stripe and Advent have made a joint offer to acquire PayPal – sources,https://www.reuters.com/business/finance/stripe-advent-offer-buy-paypal-more-than-53-billion-sources-say-2026-07-15/,341,208,rvz,https://news.ycombinator.com/item?id=48915953
LLM Networking with MikroTik,https://blog.greg.technology/2026/07/14/llm-networking-with-mikrotik.html,46,10,gregsadetsky,https://news.ycombinator.com/item?id=48927915
Nul Characters in Strings in SQLite,https://sqlite.org/nulinstr.html,28,2,basilikum,https://news.ycombinator.com/item?id=48928343
"G# – A modern .NET language with Go, Kotlin, and Swift ergonomics",https://davidobando.github.io/gsharp/,8,0,serial_dev,https://news.ycombinator.com/item?id=48871721
Running Gemma 4 26B at 5 tokens/sec on a 13-year-old Xeon with no GPU,https://www.neomindlabs.com/2026/06/08/running-gemma-4-26b-at-5-tokens-sec-on-a-13-year-old-xeon-with-no-gpu/,230,151,neomindryan,https://news.ycombinator.com/item?id=48922434
