name,stars,language,description,url,created_at
andrewyng/openworker,3443,Python,No description,https://github.com/andrewyng/openworker,2026-07-20T01:52:32Z
Vincentwei1021/video-shotcraft,1446,TypeScript,AI video skill for Claude Code & Codex — cinematic product videos with Remotion: 106 shot recipe car,https://github.com/Vincentwei1021/video-shotcraft,2026-07-19T11:44:41Z
Jakubantalik/thinking-orbs,933,TypeScript,"Dotted thought-orb loading indicators for AI & agent UIs — six tuned states, two sizes, auto dark/li",https://github.com/Jakubantalik/thinking-orbs,2026-07-21T07:01:53Z
Blaizzy/nativ,861,Swift,"Local AI, native to your Mac. Chat, serve, monitor, and connect MLX models from one macOS app.",https://github.com/Blaizzy/nativ,2026-07-20T15:37:29Z
powerycy/goutoujunshi,803,Python,一个先接住情绪、再分析关系并给出可执行策略的 Codex 恋爱军师，内置心理、法律、社会、人文、哲学、婚姻家庭与性学知识库，支持多元关系。,https://github.com/powerycy/goutoujunshi,2026-07-20T14:58:48Z
pireel/pireel,710,TypeScript,"Open-source, backend-free AI video editor for talking-head video — storyboarding, designed graphics,",https://github.com/pireel/pireel,2026-07-20T09:34:24Z
gnipbao/story-to-handdrawn-video,608,JavaScript,Agent skill: convert Chinese story copy or ordered images into a hand-drawn diary-comic animation (s,https://github.com/gnipbao/story-to-handdrawn-video,2026-07-21T08:54:45Z
CatsJuice/sticker-forge,522,JavaScript,"A tactile WebGL sticker maker with rich text, image uploads, and interactive peel physics.",https://github.com/CatsJuice/sticker-forge,2026-07-20T17:13:15Z
0xhype/hyperliquid-tracker,509,TypeScript,Get notified when big trades happen on Hyperliquid.,https://github.com/0xhype/hyperliquid-tracker,2026-07-21T14:24:08Z
Charles-0509/Grok-Register,431,Go,Grok free-register CLI: register → OAuth → CPA JSON (Go),https://github.com/Charles-0509/Grok-Register,2026-07-20T16:35:09Z
