name,stars,language,description,url,created_at
Krishnagangwal/CS-Fundamentals,1510,N/A,"Curated CS fundamentals for placement prep: DSA,Computer Networks, DBMS & SQL, OOPs, Operating Syste",https://github.com/Krishnagangwal/CS-Fundamentals,2026-06-28T07:08:15Z
yynxxxxx/Codex-5.5-codex-instruct-5.5,1296,Python,No description,https://github.com/yynxxxxx/Codex-5.5-codex-instruct-5.5,2026-06-28T10:24:42Z
mekos2772/ios-location-spoofer,1251,JavaScript,Standalone iOS app to spoof GPS location without jailbreak. Includes Shadowrocket/Surge/Loon/QX/Stas,https://github.com/mekos2772/ios-location-spoofer,2026-06-30T11:20:30Z
Kulaxyz/self-learning-skills,801,N/A,"A self-improving skill for AI coding agents (Claude Code, Cursor, AGENTS.md): recognize a hard-won g",https://github.com/Kulaxyz/self-learning-skills,2026-06-28T19:30:36Z
HUANGCHIHHUNGLeo/claude-real-video,523,Python,"Let Claude (or any LLM) actually watch a video — scene-aware, deduplicated frames + transcript, from",https://github.com/HUANGCHIHHUNGLeo/claude-real-video,2026-06-30T10:55:02Z
TianhangZhuzth/Fundamental-Ava,520,Python,"Build digital human beings — autonomous, collaborative, and socially intelligent agents. FNzgGxU31RW",https://github.com/TianhangZhuzth/Fundamental-Ava,2026-06-30T01:04:13Z
xuchonglang/investing-for-beginners,482,N/A,小隐寺投资百科官方公开索引：美股、期权与加密货币知识框架,https://github.com/xuchonglang/investing-for-beginners,2026-07-03T03:56:00Z
uzairansaruzi/hermex,448,Swift,Native iPhone app for your Hermes agent,https://github.com/uzairansaruzi/hermex,2026-07-02T12:47:31Z
Jia-Ethan/codex-keysmith,411,Python,Codex CLI instruction-file installer for local configuration,https://github.com/Jia-Ethan/codex-keysmith,2026-06-28T04:38:07Z
asz798838958/FrciblyK12,380,Python,多线程全自动注册free 强上K12空间,https://github.com/asz798838958/FrciblyK12,2026-07-02T03:47:34Z
