name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,441364,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-11-22T00:56:24Z
freeCodeCamp/freeCodeCamp,432805,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-11-22T00:29:33Z
sindresorhus/awesome,416578,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-11-22T00:51:48Z
public-apis/public-apis,379971,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-11-22T00:14:42Z
EbookFoundation/free-programming-books,377303,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-11-22T00:37:04Z
kamranahmedse/developer-roadmap,344083,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-11-22T00:33:05Z
jwasham/coding-interview-university,333783,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-11-22T00:53:58Z
donnemartin/system-design-primer,327145,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-11-22T00:46:45Z
996icu/996.ICU,274868,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-11-21T16:57:43Z
vinta/awesome-python,270446,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-11-22T00:48:19Z
