name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,499288,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-05-06T01:56:22Z
sindresorhus/awesome,462975,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-05-06T02:01:12Z
freeCodeCamp/freeCodeCamp,444207,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-05-06T01:05:42Z
public-apis/public-apis,432273,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-05-06T02:01:29Z
EbookFoundation/free-programming-books,387753,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-05-06T01:59:31Z
openclaw/openclaw,368675,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-05-06T02:01:23Z
nilbuild/developer-roadmap,354243,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-05-06T01:57:04Z
donnemartin/system-design-primer,347128,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-05-06T01:56:39Z
jwasham/coding-interview-university,345841,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-05-06T02:00:16Z
vinta/awesome-python,296115,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-05-06T01:46:31Z
