title,url,score,comments,by,hn_url
The President Made More Than $1Billon in Crypto Deals,https://www.wsj.com/politics/policy/trump-made-more-than-1-billion-on-crypto-deals-part-of-2025-windfall-ee917d3f,66,10,fortran77,https://news.ycombinator.com/item?id=48741012
Claude Sonnet 5,https://www.anthropic.com/news/claude-sonnet-5,889,499,marinesebastian,https://news.ycombinator.com/item?id=48736605
Claude Code is steganographically marking requests,https://thereallo.dev/blog/claude-code-prompt-steganography,1429,409,kirushik,https://news.ycombinator.com/item?id=48734373
Google copybara: moving code between repositories,https://github.com/google/copybara,49,6,reconnecting,https://news.ycombinator.com/item?id=48740698
Department of Commerce has lifted export controls on Claude Fable 5 and Mythos 5,https://twitter.com/AnthropicAI/status/2072106151890809341,232,90,Pragmata,https://news.ycombinator.com/item?id=48740771
Forestiere Underground Gardens,https://en.wikipedia.org/wiki/Forestiere_Underground_Gardens,10,1,onemoresoop,https://news.ycombinator.com/item?id=48741359
From brain waves to words: a new path to communication without surgery,https://ai.meta.com/blog/brain2qwerty-brain-ai-human-communication/?_fb_noscript=1,109,58,alok-g,https://news.ycombinator.com/item?id=48739466
Claude Science,https://claude.com/product/claude-science,371,122,lebovic,https://news.ycombinator.com/item?id=48735770
Nano Banana 2 Lite,https://deepmind.google/models/gemini-image/flash-lite/,308,120,minimaxir,https://news.ycombinator.com/item?id=48735444
Leanstral 1.5,https://docs.mistral.ai/models/model-cards/leanstral-1-5-26-06,102,19,vetronauta,https://news.ycombinator.com/item?id=48738938
