name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,517766,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-06-21T02:46:56Z
sindresorhus/awesome,477436,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-06-21T02:50:54Z
freeCodeCamp/freeCodeCamp,449974,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-06-21T02:46:34Z
public-apis/public-apis,443150,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-06-21T02:50:56Z
EbookFoundation/free-programming-books,390556,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-06-21T02:50:53Z
openclaw/openclaw,379687,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-06-21T02:51:47Z
nilbuild/developer-roadmap,357839,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-06-21T02:27:54Z
donnemartin/system-design-primer,354091,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-06-21T02:44:22Z
jwasham/coding-interview-university,353235,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-06-21T02:48:10Z
vinta/awesome-python,303999,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-06-21T02:50:53Z
