title,url,score,comments,by,hn_url
"iOS 27, iPadOS 27, and macOS 27",https://www.apple.com/newsroom/2026/09/major-updates-for-apples-software-platforms-are-now-available/,406,463,throw0101d,https://news.ycombinator.com/item?id=49701004
"Pion, an agent designed to run any company autonomously",https://andonlabs.com/blog/why-we-built-pion,302,330,lukaspetersson,https://news.ycombinator.com/item?id=49700477
Charts built for Chat,https://dbtcharts.com/blog/charts-built-for-chat/,111,37,thingsilearned,https://news.ycombinator.com/item?id=49704246
Show HN: Sunk Cost – How long until a local LLM rig pays for itself?,https://sunkcost.ai/,8,4,rlindsey123,https://news.ycombinator.com/item?id=49706656
Show HN: Macros with a Behringer FCB1010 MIDI Pedalboard in macOS,https://github.com/JamesRyanATX/fcbnerd,39,4,fretlessjazz,https://news.ycombinator.com/item?id=49705442
"4,400-Year-Old Tomb of Egyptian Judge Found at Saqqara with Colors on Walls",https://arkeonews.net/4400-year-old-tomb-of-an-egyptian-judge-found-at-saqqara-with-colors-still-on-the-walls/,26,4,arunbahl,https://news.ycombinator.com/item?id=49675817
Compressing a Flag to 11 Bits,https://read.vantezzen.io/miniflags,77,37,bennett_dev,https://news.ycombinator.com/item?id=49673689
Dropping eBPF CPU Cost by About 90% with Memoization (Not AI Gen),https://nathannaveen.dev/posts/dropping-ebpf-cpu-cost-by-90/,39,12,nathannaveen,https://news.ycombinator.com/item?id=49697477
Distributed Systems Classics (2017),https://nvartolomei.com/dist-sys-classics/,242,54,grep_it,https://news.ycombinator.com/item?id=49699158
XCancel service is suspended until further notice,https://xcancel.com/#,476,781,gaganyaan,https://news.ycombinator.com/item?id=49694296
