name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,452661,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-12-29T01:09:35Z
freeCodeCamp/freeCodeCamp,435360,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-12-29T00:24:09Z
sindresorhus/awesome,425659,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-12-29T00:49:29Z
public-apis/public-apis,388326,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-12-29T01:02:47Z
EbookFoundation/free-programming-books,379466,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-12-29T01:09:27Z
kamranahmedse/developer-roadmap,346240,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-12-29T00:56:43Z
jwasham/coding-interview-university,335370,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-12-29T01:06:30Z
donnemartin/system-design-primer,330582,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-12-29T00:45:48Z
vinta/awesome-python,275805,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-12-29T01:00:40Z
996icu/996.ICU,275085,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-12-28T20:29:46Z
