name,stars,language,description,url,created_at
guillaumemeyer/watermarks-remover,2387,Python,"Strip multi-vendor AI provenance marks: Unicode text hygiene, statistical rewrite hooks, and C2PA/me",https://github.com/guillaumemeyer/watermarks-remover,2026-08-11T16:32:38Z
ShawnPana/phone-harness,1639,Python,let your agent control your phone,https://github.com/ShawnPana/phone-harness,2026-08-07T22:28:53Z
oil-oil/oil-motion,1614,Python,"Create smooth, responsive interactive web animations.",https://github.com/oil-oil/oil-motion,2026-08-07T12:36:33Z
antirez/h3.c,1597,C,MiniMax H3 inference engine for Mac computers,https://github.com/antirez/h3.c,2026-08-09T09:12:47Z
SMNETSTUDIO/WeChat-AI,1520,TypeScript,No description,https://github.com/SMNETSTUDIO/WeChat-AI,2026-08-10T09:06:43Z
Flaminis/Dalaran,887,Rust,"Dalaran — Apache-2.0, robotics-first visualization and data infrastructure for multimodal time-serie",https://github.com/Flaminis/Dalaran,2026-08-07T09:37:32Z
MengTo/kage,860,HTML,"An interactive five-chapter night walk through a Kyoto mountain temple, rendered live in Three.js.",https://github.com/MengTo/kage,2026-08-08T07:05:07Z
sohaibdevv/youtube-music,850,TypeScript,"A lightweight, ad‑free client for streaming music from YouTube Music. No subscription required. Supp",https://github.com/sohaibdevv/youtube-music,2026-08-11T18:17:18Z
SaladDay/pi-from-scratch,763,TypeScript,600 行 TypeScript 写成的超级迷你版 pi，让你轻松从 0 写出属于你的 pi-agent,https://github.com/SaladDay/pi-from-scratch,2026-08-09T12:15:30Z
gvzdv/claudish-to-english,629,Shell,No description,https://github.com/gvzdv/claudish-to-english,2026-08-10T18:32:23Z
