name,stars,language,description,url,created_at
withmarbleapp/os-taxonomy,2413,JavaScript,No description,https://github.com/withmarbleapp/os-taxonomy,2026-07-08T09:27:48Z
Shpigford/knockoff,1773,JavaScript,"Chrome extension that filters pseudo-brand junk out of Amazon. Buy from real, established brands.",https://github.com/Shpigford/knockoff,2026-07-06T15:06:06Z
oso95/scroll-world,893,JavaScript,A skill that turn any brand into a scrollable 3D world,https://github.com/oso95/scroll-world,2026-07-06T21:28:58Z
x4gKing/3x-ui-Upgrade,800,HTML,No description,https://github.com/x4gKing/3x-ui-Upgrade,2026-07-08T06:13:23Z
Robbyant/lingbot-world-v2,797,Python,Infinite Worlds with Versatile Interactions,https://github.com/Robbyant/lingbot-world-v2,2026-07-08T09:24:50Z
Robbyant/lingbot-video,679,Python,Scaling Mixture-of-Experts Video Pretraining for Embodied Intelligence,https://github.com/Robbyant/lingbot-video,2026-07-08T13:52:08Z
Robbyant/lingbot-vision,635,Python,Self-supervised learning for spatial perception,https://github.com/Robbyant/lingbot-vision,2026-07-06T14:09:42Z
op7418/guizang-material-illustration,560,N/A,归藏的材质插画 skill：生成带字解释图、图表美化和参考辅助配图。,https://github.com/op7418/guizang-material-illustration,2026-07-07T13:57:13Z
V4bel/Januscape,472,C,No description,https://github.com/V4bel/Januscape,2026-07-06T15:35:00Z
xiaotianfotos/homerail,449,TypeScript,Voice-first local agent orchestration runtime for auditable DAG workflows.,https://github.com/xiaotianfotos/homerail,2026-07-07T12:11:18Z
