name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,456999,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-01-16T01:05:07Z
freeCodeCamp/freeCodeCamp,435899,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-01-16T00:52:59Z
sindresorhus/awesome,429753,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-01-16T00:57:29Z
public-apis/public-apis,391235,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-01-16T01:00:48Z
EbookFoundation/free-programming-books,380542,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-01-16T00:55:24Z
kamranahmedse/developer-roadmap,347294,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-01-16T00:30:42Z
jwasham/coding-interview-university,335862,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-01-16T01:00:53Z
donnemartin/system-design-primer,332325,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-01-16T00:05:19Z
vinta/awesome-python,278374,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-01-16T00:58:34Z
996icu/996.ICU,275167,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2026-01-16T00:32:27Z
