name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,453704,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-01-03T00:52:14Z
freeCodeCamp/freeCodeCamp,435474,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-01-03T00:50:39Z
sindresorhus/awesome,426749,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-01-03T00:58:06Z
public-apis/public-apis,389086,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-01-03T00:52:05Z
EbookFoundation/free-programming-books,379788,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-01-03T00:33:51Z
kamranahmedse/developer-roadmap,346535,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-01-03T00:58:10Z
jwasham/coding-interview-university,335523,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-01-03T00:31:20Z
donnemartin/system-design-primer,331125,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-01-03T00:31:30Z
vinta/awesome-python,276514,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-01-03T01:00:30Z
996icu/996.ICU,275095,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2026-01-02T15:22:11Z
