name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,485392,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-04-02T01:21:17Z
sindresorhus/awesome,450894,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-04-02T01:25:15Z
freeCodeCamp/freeCodeCamp,440412,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-04-02T01:22:41Z
public-apis/public-apis,418166,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-04-02T01:23:20Z
EbookFoundation/free-programming-books,384828,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-04-02T01:23:36Z
kamranahmedse/developer-roadmap,352018,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-04-02T00:50:57Z
openclaw/openclaw,344642,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-04-02T01:24:02Z
donnemartin/system-design-primer,340948,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-04-02T01:25:31Z
jwasham/coding-interview-university,340030,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-04-02T01:04:22Z
vinta/awesome-python,290156,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-04-02T01:25:33Z
