name,stars,language,description,url,created_at
lopopolo/harness-engineering,2276,Python,"🐎 Ryan Lopopolo’s anthology, field guide, and agent context bundle for harness engineering",https://github.com/lopopolo/harness-engineering,2026-07-18T21:42:28Z
andrewyng/openworker,1328,Python,No description,https://github.com/andrewyng/openworker,2026-07-20T01:52:32Z
Vincentwei1021/video-shotcraft,947,TypeScript,AI video skill for Claude Code & Codex — cinematic product videos with Remotion: 106 shot recipe car,https://github.com/Vincentwei1021/video-shotcraft,2026-07-19T11:44:41Z
Jakubantalik/thinking-orbs,830,TypeScript,"Dotted thought-orb loading indicators for AI & agent UIs — six tuned states, two sizes, auto dark/li",https://github.com/Jakubantalik/thinking-orbs,2026-07-21T07:01:53Z
Blaizzy/nativ,818,Swift,"Local AI, native to your Mac. Chat, serve, monitor, and connect MLX models from one macOS app.",https://github.com/Blaizzy/nativ,2026-07-20T15:37:29Z
powerycy/goutoujunshi,665,Python,一个先接住情绪、再分析关系并给出可执行策略的 Codex 恋爱军师，内置心理、法律、社会、人文、哲学、婚姻家庭与性学知识库，支持多元关系。,https://github.com/powerycy/goutoujunshi,2026-07-20T14:58:48Z
pireel/pireel,659,TypeScript,"Open-source, backend-free AI video editor for talking-head video — storyboarding, designed graphics,",https://github.com/pireel/pireel,2026-07-20T09:34:24Z
xiejunjie524/handdraw-story-video,634,Python,Turn hand-drawn story illustrations into 35–45 second line-reveal and gradual-coloring videos with H,https://github.com/xiejunjie524/handdraw-story-video,2026-07-18T06:51:05Z
gnipbao/story-to-handdrawn-video,562,JavaScript,Agent skill: convert Chinese story copy or ordered images into a hand-drawn diary-comic animation (s,https://github.com/gnipbao/story-to-handdrawn-video,2026-07-21T08:54:45Z
0xhype/hyperliquid-tracker,504,TypeScript,Get notified when big trades happen on Hyperliquid.,https://github.com/0xhype/hyperliquid-tracker,2026-07-21T14:24:08Z
