name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,439005,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-11-17T01:01:27Z
freeCodeCamp/freeCodeCamp,432288,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-11-17T00:58:56Z
sindresorhus/awesome,415231,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-11-17T00:57:19Z
public-apis/public-apis,378932,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-11-17T00:57:44Z
EbookFoundation/free-programming-books,376944,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-11-17T00:38:16Z
kamranahmedse/developer-roadmap,343730,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-11-17T00:57:09Z
jwasham/coding-interview-university,333409,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-11-17T00:46:22Z
donnemartin/system-design-primer,326619,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-11-17T00:39:55Z
996icu/996.ICU,274824,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-11-17T00:26:27Z
vinta/awesome-python,269632,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-11-17T01:01:14Z
