name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,439939,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-11-19T00:55:04Z
freeCodeCamp/freeCodeCamp,432509,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-11-19T00:49:12Z
sindresorhus/awesome,415804,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-11-19T00:55:34Z
public-apis/public-apis,379331,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-11-19T00:34:34Z
EbookFoundation/free-programming-books,377078,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-11-19T00:46:59Z
kamranahmedse/developer-roadmap,343864,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-11-19T00:46:34Z
jwasham/coding-interview-university,333528,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-11-19T00:51:52Z
donnemartin/system-design-primer,326827,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-11-19T00:55:27Z
996icu/996.ICU,274858,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-11-19T00:18:57Z
vinta/awesome-python,269932,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-11-19T00:34:47Z
