coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,70957.0,1419163019073.4988,0.23149625019021147,2026-03-15T01:29:11.082339,📈
cardano,0.261934,9642501095.234879,-1.1810778417058738,2026-03-15T01:29:11.082348,📉
ethereum,2086.69,251833333867.61935,-0.30393022558192834,2026-03-15T01:29:11.082350,📉
polkadot,1.4,2344748750.1503925,-3.452198646128119,2026-03-15T01:29:11.082351,📉
solana,87.83,50172777915.20904,-0.32999344824772014,2026-03-15T01:29:11.082353,📉
