name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,449324,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-12-16T01:02:35Z
freeCodeCamp/freeCodeCamp,434821,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-12-16T01:03:44Z
sindresorhus/awesome,422631,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-12-16T01:03:13Z
public-apis/public-apis,384750,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-12-16T01:01:47Z
EbookFoundation/free-programming-books,378875,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-12-16T00:26:41Z
kamranahmedse/developer-roadmap,345445,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-12-16T01:02:18Z
jwasham/coding-interview-university,334658,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-12-16T00:05:15Z
donnemartin/system-design-primer,329438,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-12-16T00:32:08Z
996icu/996.ICU,275022,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-12-16T01:01:05Z
vinta/awesome-python,273924,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-12-16T00:45:36Z
