name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,503840,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-05-24T02:29:54Z
sindresorhus/awesome,469435,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-05-24T02:26:47Z
freeCodeCamp/freeCodeCamp,445346,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-05-24T01:15:46Z
public-apis/public-apis,436834,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-05-24T02:28:19Z
EbookFoundation/free-programming-books,388840,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-05-24T02:29:09Z
openclaw/openclaw,374197,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-05-24T02:29:31Z
nilbuild/developer-roadmap,355337,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-05-24T01:41:19Z
donnemartin/system-design-primer,349987,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-05-24T00:59:06Z
jwasham/coding-interview-university,347310,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-05-24T01:58:23Z
vinta/awesome-python,299257,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-05-24T02:29:46Z
