title,url,score,comments,by,hn_url
Om Malik has died,https://om.co/2026/06/24/1966-2026/,1075,127,minimaxir,https://news.ycombinator.com/item?id=48678852
An entire Herculaneum scroll has been read for the first time,https://scrollprize.org/firstscroll,1455,303,verditelabs,https://news.ycombinator.com/item?id=48675179
Bipartite Matching Is in NC,https://scottaaronson.blog/?p=9851,54,0,amichail,https://news.ycombinator.com/item?id=48637433
Libre Barcode Project,https://graphicore.github.io/librebarcode/,217,35,luu,https://news.ycombinator.com/item?id=48681949
What happened after 2k people tried to hack my AI assistant,https://www.fernandoi.cl/posts/hackmyclaw/,250,99,cuchoi,https://news.ycombinator.com/item?id=48681687
Framework's 10G Ethernet module exposes USB-C's complexity,https://www.jeffgeerling.com/blog/2026/framework-10g-ethernet-module-usb-c-complexity/,240,126,Alupis,https://news.ycombinator.com/item?id=48681220
Incident CVE-2026-LGTM,https://nesbitt.io/2026/06/26/incident-report-cve-2026-lgtm.html,14,0,mooreds,https://news.ycombinator.com/item?id=48686093
Show HN: WebBase-III – dBASE III rebuilt in the browser with its own interpreter,https://github.com/DDecoene/WebBaseIII,25,7,ddecoene,https://news.ycombinator.com/item?id=48656986
Ultrasound Imaging of the Brain,https://alephneuro.com/blog/ultrasound-brain,13,1,rossant,https://news.ycombinator.com/item?id=48685558
22-year-old Mozart's handwritten notebook unearthed in 'major discovery',https://www.classicfm.com/composers/mozart/handwritten-notebook-discovered-major-paris/,135,36,thunderbong,https://news.ycombinator.com/item?id=48610137
