title,url,score,comments,by,hn_url
GPT-5.6 Sol Ultra will be in Codex,https://twitter.com/thsottiaux/status/2073933490513752151,51,14,mfiguiere,https://news.ycombinator.com/item?id=48799614
OpenPrinter,https://www.opentools.studio/,460,116,bouh,https://news.ycombinator.com/item?id=48797916
Al Vigier: Canada's AI strategy shouldn't include secret Palantir bills,https://www.readtheline.ca/p/al-vigier-canadas-ai-strategy-shouldnt,82,27,ClearwayLaw,https://news.ycombinator.com/item?id=48799256
Has_not_been_viewed_much,https://iamwillwang.com/notes/has-not-been-viewed-much/,88,22,wxw,https://news.ycombinator.com/item?id=48799155
Organic Maps,https://organicmaps.app/,820,226,tosh,https://news.ycombinator.com/item?id=48794446
Show HN: Homegames. An open-source game platform I've been making for 8 years,https://homegames.io,96,30,homegamesjoseph,https://news.ycombinator.com/item?id=48798153
Does Code Cleanliness Affect Coding Agents?,https://arxiv.org/abs/2605.20049,33,11,softwaredoug,https://news.ycombinator.com/item?id=48798815
Completing a computer science degree on Coursera,https://notesbylex.com/completing-a-computer-science-degree-on-coursera,107,76,lexandstuff,https://news.ycombinator.com/item?id=48798061
The Private Capture of Public Genius,https://www.wysr.xyz/p/the-private-capture-of-public-genius,26,2,martialg,https://news.ycombinator.com/item?id=48799178
"It's not about physical vs. digital games, it's about ownership",https://popcar.bearblog.dev/its-about-ownership/,328,238,popcar2,https://news.ycombinator.com/item?id=48794750
