name,stars,language,description,url,created_at
MoonshotAI/Kimi-K3,7826,N/A,Open Frontier Intelligence,https://github.com/MoonshotAI/Kimi-K3,2026-07-27T08:01:37Z
yc-software/qm,5044,TypeScript,Multiplayer agent harness for work,https://github.com/yc-software/qm,2026-07-29T20:03:08Z
bashalarmistalt/decimen-optical-transfer,3091,TypeScript,No description,https://github.com/bashalarmistalt/decimen-optical-transfer,2026-07-30T18:17:54Z
QwenAudio/qwen-audio-agent,1303,JavaScript,"A realtime voice runtime that keeps Agents talking, working, and present.  Real-time Voice Runtime f",https://github.com/QwenAudio/qwen-audio-agent,2026-07-27T05:04:26Z
xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,1030,N/A,FDE（前沿部署工程师）从零入门指南（基于范冰《增长黑客》原书框架）,https://github.com/xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,2026-07-30T05:39:38Z
xikhar/persona,765,JavaScript,Bringing real-time voice to life.,https://github.com/xikhar/persona,2026-07-28T11:40:19Z
sqliteai/waste,688,C,Run the full 2.78-trillion-parameter Kimi K3 model beyond available RAM by streaming activated weigh,https://github.com/sqliteai/waste,2026-07-28T20:56:00Z
trycompai/crm,662,TypeScript,No description,https://github.com/trycompai/crm,2026-07-31T21:38:51Z
gavamedia/deltafin,594,Python,Run full Kimi K3 on a single device. And an OpenAI-compatible API server for local chat and coding a,https://github.com/gavamedia/deltafin,2026-07-28T01:01:23Z
talivia-group/talivia,591,TypeScript,"Open-source, self-hosted revenue-first analytics for founders: web analytics, Session Replay, revenu",https://github.com/talivia-group/talivia,2026-07-29T07:56:49Z
