title,url,score,comments,by,hn_url
Fable turned reMarkable into Tom Riddle's diary from Harry Potter,https://github.com/MaximeRivest/Riddle,156,99,modinfo,https://news.ycombinator.com/item?id=48811591
How to sequence your own DNA at home,https://bradleywoolf.com/links-1/sequencing-my-own-dna-at-home,58,15,bilsbie,https://news.ycombinator.com/item?id=48812156
OpenWrt One – Open Hardware Router,https://openwrt.org/toh/openwrt/one,447,176,peter_d_sherman,https://news.ycombinator.com/item?id=48808482
CoMaps – FOSS Offline Maps,https://www.comaps.app/,323,63,basilikum,https://news.ycombinator.com/item?id=48808928
GLM 5.2 and the coming AI margin collapse,https://martinalderson.com/posts/the-upcoming-ai-margin-collapse-part-1-glm-5-2/,173,109,martinald,https://news.ycombinator.com/item?id=48809877
Ternlight – 7 MB embedding model that runs in browser (WASM),https://ternlight-demo.vercel.app/,72,22,soycaporal,https://news.ycombinator.com/item?id=48811644
NSA and IETF: Fairness,https://blog.cr.yp.to/20260706-fairness.html,40,15,WatchDog,https://news.ycombinator.com/item?id=48811887
A global workspace in language models,https://www.anthropic.com/research/global-workspace,272,98,in-silico,https://news.ycombinator.com/item?id=48808002
Pruning RAG context down to what the answer actually needs,https://www.kapa.ai/blog/how-we-prune-rag-context,58,5,emil_sorensen,https://news.ycombinator.com/item?id=48809354
A 2048-spin bulk acoustic wave Ising machine for number partitioning and Sudoku,https://arxiv.org/abs/2607.02112,25,1,Jimmc414,https://news.ycombinator.com/item?id=48782248
