title,url,score,comments,by,hn_url
I've factored the RSA keys of a Certificate Authority from the 90s,https://mcpherrin.ca/2026/09/07/rsa.html,76,12,ahlCVA,https://news.ycombinator.com/item?id=49604637
Jellyfin 12.0,https://jellyfin.org/posts/jellyfin-release-12.0/,34,5,0xC0ncord,https://news.ycombinator.com/item?id=49604861
TALA Is Open-Source,https://d2lang.com/blog/tala-is-open-source/,91,8,alixanderwang,https://news.ycombinator.com/item?id=49604150
"Watch Los Angeles get built, one building at a time (1880–2026)",https://lax-skyline.parcelscope.net/,223,107,rustywasm,https://news.ycombinator.com/item?id=49601655
Show HN: Stuxnet – A reconstructed source code of the infamous cyber-weapon,https://github.com/Sadpainy/Stuxnet,101,31,CMDDestory,https://news.ycombinator.com/item?id=49603546
Leaving VMware just got harder after Broadcom pulled VDDK downloads,https://www.virtualizationhowto.com/2026/09/leaving-vmware-just-got-harder-after-broadcom-pulled-vddk-downloads/,97,47,josephcsible,https://news.ycombinator.com/item?id=49602699
Trusting-Trust Attack against an Entire Linux Distribution,https://arxiv.org/abs/2607.24888,157,35,signa11,https://news.ycombinator.com/item?id=49575515
WeatherNext 3,https://deepmind.google/science/weathernext/,236,57,matthieu_bl,https://news.ycombinator.com/item?id=49552299
"Disconnect your LG television from the internet, now",https://appleinsider.com/articles/26/09/07/disconnect-your-lg-television-from-the-internet-now,51,25,harambae,https://news.ycombinator.com/item?id=49604537
Scientists observe Einstein's gravity in the quantum world,https://www.ox.ac.uk/news/2026-08-28-scientists-observe-einsteins-gravity-in-the-quantum-world,148,37,mudil,https://news.ycombinator.com/item?id=49569838
