name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,498520,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-05-02T01:56:21Z
sindresorhus/awesome,461145,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-05-02T01:58:13Z
freeCodeCamp/freeCodeCamp,444003,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-05-02T01:52:13Z
public-apis/public-apis,430003,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-05-02T01:56:43Z
EbookFoundation/free-programming-books,387477,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-05-02T01:53:28Z
openclaw/openclaw,367204,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-05-02T01:58:48Z
nilbuild/developer-roadmap,354005,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-05-02T01:56:59Z
donnemartin/system-design-primer,346613,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-05-02T01:52:11Z
jwasham/coding-interview-university,343910,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-05-02T01:56:46Z
vinta/awesome-python,295466,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-05-02T01:44:11Z
