name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,439542,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-11-18T00:56:20Z
freeCodeCamp/freeCodeCamp,432400,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-11-18T00:58:18Z
sindresorhus/awesome,415535,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-11-18T00:53:35Z
public-apis/public-apis,379126,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-11-18T00:59:57Z
EbookFoundation/free-programming-books,377011,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-11-18T00:59:20Z
kamranahmedse/developer-roadmap,343803,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-11-18T01:00:13Z
jwasham/coding-interview-university,333459,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-11-18T00:43:46Z
donnemartin/system-design-primer,326719,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-11-18T00:42:50Z
996icu/996.ICU,274845,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-11-17T18:27:22Z
vinta/awesome-python,269791,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-11-18T00:49:07Z
