name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,474531,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-13T01:16:20Z
sindresorhus/awesome,445060,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-13T01:15:34Z
freeCodeCamp/freeCodeCamp,438101,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-13T00:58:28Z
public-apis/public-apis,408531,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-13T01:17:40Z
EbookFoundation/free-programming-books,383990,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-13T00:44:50Z
kamranahmedse/developer-roadmap,350838,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-13T00:00:52Z
donnemartin/system-design-primer,338673,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-13T01:06:33Z
jwasham/coding-interview-university,337814,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-13T00:46:23Z
openclaw/openclaw,307758,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-13T01:17:52Z
vinta/awesome-python,286892,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-13T01:01:55Z
