name,stars,language,description,url,created_at
withmarbleapp/os-taxonomy,2923,JavaScript,No description,https://github.com/withmarbleapp/os-taxonomy,2026-07-08T09:27:48Z
Robbyant/lingbot-world-v2,1033,Python,Infinite Worlds with Versatile Interactions,https://github.com/Robbyant/lingbot-world-v2,2026-07-08T09:24:50Z
x4gKing/3x-ui-Upgrade,959,HTML,No description,https://github.com/x4gKing/3x-ui-Upgrade,2026-07-08T06:13:23Z
vinhhien112/Three.js-Object-Sculptor-Codex-Plugin,859,Python,"Codex plugin that turns attached object images into code-only, animation-ready procedural Three.js m",https://github.com/vinhhien112/Three.js-Object-Sculptor-Codex-Plugin,2026-07-09T16:23:29Z
Robbyant/lingbot-video,758,Python,Scaling Mixture-of-Experts Video Pretraining for Embodied Intelligence,https://github.com/Robbyant/lingbot-video,2026-07-08T13:52:08Z
mereyabdenbekuly-ctrl/clodex-ide,696,TypeScript,"Local-first, zero-trust agentic IDE for verifiable autonomous software development.",https://github.com/mereyabdenbekuly-ctrl/clodex-ide,2026-07-12T10:35:44Z
littledivy/mimic,695,Python,"Intercept any app, then call it from Python like a library",https://github.com/littledivy/mimic,2026-07-13T05:13:00Z
MDX-Tom/gpt-5.6-instruct,682,Python,A Codex CLI jailbreak prompt and test pack for gpt-5.6-sol. 针对 gpt-5.6 系列的 Codex CLI 破甲提示词与测试包。,https://github.com/MDX-Tom/gpt-5.6-instruct,2026-07-11T09:44:24Z
William-Lu-stack/LuxyAI,549,Python,AgenticOps for Kubernetes and cloud infrastructure.,https://github.com/William-Lu-stack/LuxyAI,2026-07-10T05:57:02Z
AlephAITech/WorkBuddyGuide,497,Python,"A practical, open-source guide to mastering WorkBuddy through real-world workflows.开源的 WorkBuddy 实战蓝",https://github.com/AlephAITech/WorkBuddyGuide,2026-07-10T04:13:51Z
