name,stars,language,description,url,created_at
deepseek-ai/deepseek-harness,160428,TypeScript,DeepSeek Harness: Everything is a Plugin.,https://github.com/deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z
anywhere-labs/deepseek-harness-desktop,13593,TypeScript,为 DeepSeek Harness (DSH) 插件生态打造的现代化桌面端解决方案。万物皆「插件」，桌面本身也是「插件」。,https://github.com/anywhere-labs/deepseek-harness-desktop,2026-08-13T16:30:50Z
awesome-dsh-plugin/awesome-dsh-plugin,8897,Python,A curated list of plugins for DeepSeek Harness (dsh) · DeepSeek Harness 插件精选列表,https://github.com/awesome-dsh-plugin/awesome-dsh-plugin,2026-08-13T13:55:31Z
yjh051108/dsh-routing-suite,6037,PowerShell,"dsh-routing-suite — injector + router-standard kit: install the runtime injector first, then the tas",https://github.com/yjh051108/dsh-routing-suite,2026-08-14T21:20:55Z
xiaobright/dsh-anchored-standard,3559,JavaScript,"Two-phase DeepSeek Harness preset: Minimal-aligned bootstrap, then full Standard tools (Project2 98/",https://github.com/xiaobright/dsh-anchored-standard,2026-08-14T14:06:39Z
yetone/cumora,2368,TypeScript,Where agent teams gather. Cross-platform team chat where AI agents are first-class teammates — with ,https://github.com/yetone/cumora,2026-08-17T09:13:52Z
cordiverse/paper,2296,N/A,A Programming Paradigm for Spatiotemporal Composability,https://github.com/cordiverse/paper,2026-08-13T09:53:33Z
ccch1mneyyy/dsh-TUI,1972,TypeScript,DSH 官方公众号收录的 TUI 补位插件：Claude Code 风，鲸鱼顶栏/实时状态/流式思考/双击 Esc 回滚/上下文进度+TPS。npm 一键装。  DSH official WeChat,https://github.com/ccch1mneyyy/dsh-TUI,2026-08-13T12:49:31Z
xoreaxeaxeax/skitter-creek-bath-salts,1824,C,Unlocking _everything_ on the CPU with DRAM scrambling,https://github.com/xoreaxeaxeax/skitter-creek-bath-salts,2026-08-13T13:50:42Z
Small-tailqwq/dsh-deep-whale,1380,TypeScript,DSH Web 鲸鱼娘皮肤系列(深海女仆工坊 maid-atelier)——CC BY-NC-SA 4.0,https://github.com/Small-tailqwq/dsh-deep-whale,2026-08-13T13:02:14Z
