title,url,score,comments,by,hn_url
The UK's War on Anonymity Has Come to America,https://www.effort.news/uk-lobby,93,22,slowin,https://news.ycombinator.com/item?id=49251411
"Show HN: Needle2: 14MB agentic LLM for phones, wearables, smart home and robots",https://cactuscompute.com/needle,154,70,HenryNdubuaku,https://news.ycombinator.com/item?id=49246804
Muse Glimmer: 30B-parameter model optimized for always-on local agent workflows,https://research.meta.ai/blog/introducing-muse-glimmer-open-agentic-model,1024,570,riordan,https://news.ycombinator.com/item?id=49241679
Show HN: Scroll through all 43252003274489856000 Rubik's Cube states,https://everycube.alen.is/,31,4,Alen123,https://news.ycombinator.com/item?id=49251179
"The ""mechanical miracle"" that ruined Mark Twain's life",https://resobscura.substack.com/p/the-mechanical-miracle-that-ruined,23,4,benbreen,https://news.ycombinator.com/item?id=49184220
Mark Zuckerberg attacks 'closed' AI rivals as Meta returns to open models,https://www.ft.com/content/4e3957f8-ea7c-4c46-a3de-cdce8e526878,353,373,root-parent,https://news.ycombinator.com/item?id=49243880
Publishing Schematics Before “Open Source” Was a Word,https://fabscene.medium.com/publishing-schematics-before-open-source-was-a-word-55-years-of-akizuki-denshi-japans-be7ca9629704,60,15,extralongdivisi,https://news.ycombinator.com/item?id=49212449
Rust SIMD on the GPU,https://www.vectorware.com/blog/simd-on-gpu/,119,59,sagacity,https://news.ycombinator.com/item?id=49247477
Sonic Pi v5,https://www.patreon.com/samaaron/posts/sonic-pi-v5-166001392,303,78,samaaron,https://news.ycombinator.com/item?id=49208296
Confessions of a Long-Distance Sailor,https://arachnoid.com/lutusp/sailbook.html,56,10,AntiRush,https://news.ycombinator.com/item?id=49249555
