name,stars,language,description,url,created_at
lopopolo/harness-engineering,1626,Python,"🐎 Ryan Lopopolo’s anthology, field guide, and agent context bundle for harness engineering",https://github.com/lopopolo/harness-engineering,2026-07-18T21:42:28Z
tandpfun/wardrobe,1285,JavaScript,"Your clothes, extracted and organized with gpt-image.",https://github.com/tandpfun/wardrobe,2026-07-16T06:17:00Z
pablostanley/yoinks,964,TypeScript,yoink any video from your terminal. no shady ads.,https://github.com/pablostanley/yoinks,2026-07-16T07:06:09Z
nethical6/conversation-steganography,911,Go,Use LLMs to hide messages inside normal looking conversations,https://github.com/nethical6/conversation-steganography,2026-07-17T04:58:22Z
v-modal/vmodal_sdk_flutter,777,Dart,V- Modal AI: Search anything anywhere SDK Flutter,https://github.com/v-modal/vmodal_sdk_flutter,2026-07-16T12:25:48Z
MIgHTy-alIeN/MEV-Arbitrage-Bot,739,Solidity,An arbitrage bot is a smart contract connected to an external automation script that controls its op,https://github.com/MIgHTy-alIeN/MEV-Arbitrage-Bot,2026-07-17T09:45:22Z
Blaizzy/nativ,626,Swift,"Local AI, native to your Mac. Chat, serve, monitor, and connect MLX models from one macOS app.",https://github.com/Blaizzy/nativ,2026-07-20T15:37:29Z
xiejunjie524/handdraw-story-video,587,Python,Turn hand-drawn story illustrations into 35–45 second line-reveal and gradual-coloring videos with H,https://github.com/xiejunjie524/handdraw-story-video,2026-07-18T06:51:05Z
EthanXiang777/circuit-framework,487,Python,Circuit Framework — multi-agent LLM trading research system,https://github.com/EthanXiang777/circuit-framework,2026-07-16T15:02:10Z
smixs/pohuy,468,N/A,"Режим идиоматического русского мата для AI-агентов. Короче, душевнее, эффективнее. 18+",https://github.com/smixs/pohuy,2026-07-17T15:22:53Z
