name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,491197,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-04-18T01:18:12Z
sindresorhus/awesome,456379,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-04-18T01:27:46Z
freeCodeCamp/freeCodeCamp,443080,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-04-18T00:55:51Z
public-apis/public-apis,424535,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-04-18T01:26:43Z
EbookFoundation/free-programming-books,385645,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-04-18T01:25:30Z
openclaw/openclaw,359520,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-04-18T01:27:02Z
kamranahmedse/developer-roadmap,353121,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-04-17T23:36:42Z
donnemartin/system-design-primer,343149,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-04-18T01:10:46Z
jwasham/coding-interview-university,341062,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-04-18T01:14:58Z
vinta/awesome-python,292934,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-04-18T01:26:41Z
