name,stars,language,description,url,created_at
firecrawl/anydoc,11033,Rust,"Convert Word, PowerPoint, Excel, OpenDocument, RTF, EPUB, CSV, and PDF to clean Markdown. Built in R",https://github.com/firecrawl/anydoc,2026-08-03T16:36:14Z
thebuggeddev/anatomy,1982,TypeScript,An interactive 3D human anatomy explorer built using threejs with GPT 5.6 Sol,https://github.com/thebuggeddev/anatomy,2026-08-02T11:15:16Z
KKKKhazix/human-writing,1874,Python,让 AI 写的中文读起来像一个具体的人在说话。通用创作与改稿 Skill，开箱即用。,https://github.com/KKKKhazix/human-writing,2026-08-05T01:19:41Z
Binaryify/open-kimi-ppt-skill,1588,N/A,非官方 Kimi Slides Skill：让 AI Agent 生成可编辑 PPTD + PPTX，并附带本地浏览器编辑器 Unofficial Kimi Slides skill for AI a,https://github.com/Binaryify/open-kimi-ppt-skill,2026-08-05T07:30:56Z
ZzzLc0405/photo-abstract-editorial,1492,N/A,No description,https://github.com/ZzzLc0405/photo-abstract-editorial,2026-08-04T09:35:31Z
Accio-org/RealReplicaBench,1040,HTML,"RealReplicaBench: Benchmarking Long-Horizon Agents in High-Fidelity, Stateful, and Reproducible Repl",https://github.com/Accio-org/RealReplicaBench,2026-08-02T05:38:38Z
mikiarlo3/awesome-growth-hacking-skills,725,Shell,"Find agentic growth hacking skills for Claude, ChatGPT, Manus | by enso.bot",https://github.com/mikiarlo3/awesome-growth-hacking-skills,2026-08-04T19:45:15Z
magicrew/doc7,611,Go,Turn documents into AI-ready Markdown with visual understanding,https://github.com/magicrew/doc7,2026-08-02T14:03:55Z
sophiamyang/finger-frame-effect-ai,604,JavaScript,No description,https://github.com/sophiamyang/finger-frame-effect-ai,2026-08-02T21:58:43Z
0xwilliamortiz/claude-red,559,JavaScript,claude-red is a curated library of offensive security skills designed for the Claude skills system. ,https://github.com/0xwilliamortiz/claude-red,2026-08-05T16:54:36Z
