name,stars,language,description,url,created_at
deepseek-ai/DeepSpec,5337,Python,DeepSpec: a full-stack codebase for training and evaluating speculative decoding algorithms,https://github.com/deepseek-ai/DeepSpec,2026-06-26T12:36:05Z
baairon/torlink,1720,TypeScript,"A sleek, zero-setup torrent finder and downloader that lives right in your terminal.",https://github.com/baairon/torlink,2026-06-25T12:37:15Z
Krishnagangwal/CS-Fundamentals,1225,N/A,"Curated CS fundamentals for placement prep: DSA,Computer Networks, DBMS & SQL, OOPs, Operating Syste",https://github.com/Krishnagangwal/CS-Fundamentals,2026-06-28T07:08:15Z
yynxxxxx/Codex-5.5-codex-instruct-5.5,831,Python,No description,https://github.com/yynxxxxx/Codex-5.5-codex-instruct-5.5,2026-06-28T10:24:42Z
winsznx/theeleven,691,TypeScript,"Eleven autonomous AI agents open live football prop markets on X Layer — custom Uniswap v4 hook, gas",https://github.com/winsznx/theeleven,2026-06-25T07:42:50Z
TianhangZhuzth/Fundamental-Ava,606,Python,"Build digital human beings — autonomous, collaborative, and socially intelligent agents. FNzgGxU31RW",https://github.com/TianhangZhuzth/Fundamental-Ava,2026-06-30T01:04:13Z
Pluviobyte/video-production-skills,483,Python,"Reusable AI video production skills library for creation, recreation, motion design, openers, and QA",https://github.com/Pluviobyte/video-production-skills,2026-06-26T05:50:51Z
CopilotKit/OpenTag,464,TypeScript,OpenTag,https://github.com/CopilotKit/OpenTag,2026-06-26T04:34:01Z
tdeverx/contained-app,435,Swift,A native macOS app for Apple's Container CLI,https://github.com/tdeverx/contained-app,2026-06-25T22:02:07Z
cclank/lanshu-animated-architecture-diagram,388,Python,Premium hand-drawn animated architecture diagram Codex skill,https://github.com/cclank/lanshu-animated-architecture-diagram,2026-06-26T09:29:51Z
