name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,454874,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-01-08T00:56:04Z
freeCodeCamp/freeCodeCamp,435642,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-01-08T00:40:06Z
sindresorhus/awesome,427957,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-01-08T01:01:48Z
public-apis/public-apis,390077,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-01-08T01:01:59Z
EbookFoundation/free-programming-books,380135,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-01-08T00:29:47Z
kamranahmedse/developer-roadmap,346853,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-01-07T22:55:49Z
jwasham/coding-interview-university,335707,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-01-08T00:12:49Z
donnemartin/system-design-primer,331634,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-01-08T00:05:55Z
vinta/awesome-python,277241,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-01-08T00:45:42Z
996icu/996.ICU,275123,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2026-01-07T17:22:32Z
