name,stars,language,description,url,created_at
sapientinc/PRAXIST,5457,Python,"Autonomous research system for measurable, computer-executable research.",https://github.com/sapientinc/PRAXIST,2026-08-27T14:20:58Z
HEJustinSun/my-girlfriend-jingtian-latex,4195,TeX,No description,https://github.com/HEJustinSun/my-girlfriend-jingtian-latex,2026-08-27T11:28:44Z
XiaoDuoYa/codex-with-chatgpt,1880,TypeScript,ChatGPT thinks. Codex works. Use ChatGPT as the planning brain while keeping the Codex harness.,https://github.com/XiaoDuoYa/codex-with-chatgpt,2026-08-28T12:57:24Z
Nanako0129/sepia,1248,N/A,"De-AI writing skill for any Agent Skills-compatible agent (77+ via the Skills CLI), with native plug",https://github.com/Nanako0129/sepia,2026-08-28T05:56:49Z
MetaMask-AI/metamask-desktop,1228,CSS,🌐 🔌 The MetaMask desktop app enables browsing Ethereum blockchain enabled websites,https://github.com/MetaMask-AI/metamask-desktop,2026-08-28T08:07:10Z
wide-trace/open-higgsfield,1147,TypeScript,"A studio for image and video generation — one prompt bar, each model’s own settings, and every finis",https://github.com/wide-trace/open-higgsfield,2026-08-26T06:09:58Z
cbrock84/headcount,858,Markdown,"An agent organization for Claude Code, structured as a company — 15+ departments, 125+ skills, each ",https://github.com/cbrock84/headcount,2026-08-28T18:03:04Z
tradecatlabs/shulihuazixuecongshu,828,Python,No description,https://github.com/tradecatlabs/shulihuazixuecongshu,2026-08-27T18:02:35Z
crmne/fastpotify,763,Rust,"Spotify, native and fast. One lightweight Rust app for your whole library, local playback, and Spoti",https://github.com/crmne/fastpotify,2026-08-27T12:46:32Z
jprx/darwin-vm,697,Python,"Run iOS/ macOS in Qemu. Virtual iPhone 17, 16, 15, 14, 13, 12 and M5-M1 Apple Si Macs supported.",https://github.com/jprx/darwin-vm,2026-08-27T22:24:31Z
