name,stars,language,description,url,created_at
MengTo/threeui,4226,HTML,Open-source ThreeUI Community catalog with live interactive components and complete Community source,https://github.com/MengTo/threeui,2026-08-21T11:56:39Z
b-nnett/grok-bot-0.18-reconstructed,3148,TypeScript,Unofficial source-oriented reconstruction and extension of Grok Bot 0.18.0 for macOS,https://github.com/b-nnett/grok-bot-0.18-reconstructed,2026-08-23T20:53:01Z
tobi/walgit,2099,Rust,No description,https://github.com/tobi/walgit,2026-08-23T22:28:01Z
duty1g/x64dbg-mcp-server,1479,Zig,x64dbg-MCP Server is a native MCP (Model Context Protocol) plugin for x64dbg that exposes the debugg,https://github.com/duty1g/x64dbg-mcp-server,2026-08-22T14:28:41Z
nateherkai/scroll-craft,1031,JavaScript,"Claude Code skill for premium scroll-driven websites. Scroll becomes the timeline, on a real design ",https://github.com/nateherkai/scroll-craft,2026-08-22T15:25:08Z
ApodexAI/FrontierAgent,1024,Python,"🧩 FrontierAgent, our agent framework, open-sourced alongside it — native command-line TUI, ReAct and",https://github.com/ApodexAI/FrontierAgent,2026-08-22T05:07:35Z
bryllim/workout-guide,868,Astro,302 open exercise illustrations and a framework-neutral npm package by Bryl Lim,https://github.com/bryllim/workout-guide,2026-08-24T02:14:20Z
ShadowAqueduct/watermark-remover,809,Python,"Purge multi-vendor AI watermarks: clean Unicode text, apply statistical rewrite hooks, and clear C2P",https://github.com/ShadowAqueduct/watermark-remover,2026-08-23T21:14:28Z
wide-trace/open-higgsfield,618,TypeScript,"A studio for image and video generation — one prompt bar, each model’s own settings, and every finis",https://github.com/wide-trace/open-higgsfield,2026-08-26T06:09:58Z
themartiano/try-omarchy,577,Shell,Try Omarchy on Apple Silicon without any setup.,https://github.com/themartiano/try-omarchy,2026-08-23T21:55:30Z
