name,stars,language,description,url,created_at
s1dashu/ip-as-logo-skill,3901,N/A,"A compact Agent Skill for highly simplified, rounded, subtly neo-skeuomorphic IP mascot logos.",https://github.com/s1dashu/ip-as-logo-skill,2026-08-18T13:59:23Z
MengTo/threeui,2895,HTML,Open-source ThreeUI Community catalog with live interactive components and complete Community source,https://github.com/MengTo/threeui,2026-08-21T11:56:39Z
wang2122/sprix-sage-router,1412,Python,Sprix AI at 屿智同行 — state-aware SELF/COLLABORATE/HANDOFF routing for A2A agent networks.,https://github.com/wang2122/sprix-sage-router,2026-08-18T04:08:11Z
vvxw/deploy-vercel,1213,JavaScript,Install Command：npm install,https://github.com/vvxw/deploy-vercel,2026-08-18T13:25:45Z
duty1g/x64dbg-mcp-server,866,Zig,x64dbg-MCP Server is a native MCP (Model Context Protocol) plugin for x64dbg that exposes the debugg,https://github.com/duty1g/x64dbg-mcp-server,2026-08-22T14:28:41Z
ShadowAqueduct/watermark-remover,760,Python,"Purge multi-vendor AI watermarks: clean Unicode text, apply statistical rewrite hooks, and clear C2P",https://github.com/ShadowAqueduct/watermark-remover,2026-08-23T21:14:28Z
MeteorNOX/DeepSeek-Balance-Whale-Widget,718,JavaScript,DeepSeek Harness（DSH）一只住在 DSH 界面右下角的小鲸鱼娘，帮你盯着DeepSeek账户余额。QQ弹弹，支持拖拽吸附、左吸附翻转、数字滚动动画，随界面自动启用，建议直接喊来你的d,https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget,2026-08-18T03:13:51Z
DenisSergeevitch/desktop-fly,704,Swift,"A 3D fruit fly living on your macOS desktop, driven by a live spiking simulation of the real FlyWire",https://github.com/DenisSergeevitch/desktop-fly,2026-08-18T17:29:17Z
cclank/lanshu-create-ai-presenter-video,655,Python,Provider-neutral Codex Skill for producing verified AI presenter videos from a script and an authori,https://github.com/cclank/lanshu-create-ai-presenter-video,2026-08-20T13:40:06Z
missuo/herdrm,611,Swift,"Native macOS console for herdr — all your coding agents and their live terminals, across devices",https://github.com/missuo/herdrm,2026-08-19T06:55:39Z
