name,stars,language,description,url,created_at
lnkiai/m3e-canvas,3733,TypeScript,Sketch Material 3 Expressive screens in the browser and turn them into vibe-coding prompts.,https://github.com/lnkiai/m3e-canvas,2026-09-02T04:36:34Z
anthropics/commerce-agents,2055,Python,"Reference blueprint for building shopping and merchant agents with Claude. Examples in retail, comme",https://github.com/anthropics/commerce-agents,2026-09-01T12:30:12Z
shadcn-ui/cn,1172,TypeScript,cn is a new engine for Tailwind class merging and conflict resolution. It replaces tailwind-merge an,https://github.com/shadcn-ui/cn,2026-08-31T07:04:03Z
GangTailorUpgrade/undress-service,1091,Python,Dress AI Sponsor,https://github.com/GangTailorUpgrade/undress-service,2026-08-31T00:12:45Z
2akouwu/reverify,923,Python,"Stop your AI from making things up — it proposes, deterministic tools decide, every claim checked ag",https://github.com/2akouwu/reverify,2026-08-31T01:02:18Z
yczz/oc-english,822,JavaScript,养成类游戏英语学习,https://github.com/yczz/oc-english,2026-09-01T23:45:27Z
anthropics/fermats-last-theorem,699,Lean,No description,https://github.com/anthropics/fermats-last-theorem,2026-09-04T14:21:04Z
danielblnc/DLSS-NR-on-AMD,656,N/A,Run DLSS 5 Neural Rendering on your AMD GPU. Magic!,https://github.com/danielblnc/DLSS-NR-on-AMD,2026-09-03T00:42:03Z
nahrek/polyledger,620,Python,"Resumable Polymarket indexer: CLOB market metadata plus on-chain trades from Polygon, in one DuckDB ",https://github.com/nahrek/polyledger,2026-09-02T17:00:13Z
MSNightmare/FalconFlank,515,C,Crowdstrike Falcon 0day Privilege Escalation Vulnerability,https://github.com/MSNightmare/FalconFlank,2026-09-03T02:48:22Z
