title,url,score,comments,by,hn_url
Who's afraid of Chinese models?,https://stratechery.com/2026/whos-afraid-of-chinese-models/,261,171,mfiguiere,https://news.ycombinator.com/item?id=48977128
Kimi Work,https://www.kimi.com/products/kimi-work,398,185,ms7892,https://news.ycombinator.com/item?id=48981703
Human mathematicians are being outcounterexampled,https://xenaproject.wordpress.com/2026/07/20/human-mathematicians-are-being-outcounterexampled/,209,76,artninja1988,https://news.ycombinator.com/item?id=48983382
Jelly UI: Soft-body physics for native HTML form controls,https://jelly-ui.com/,346,135,baldvinmar,https://news.ycombinator.com/item?id=48981620
Hacker wipes Romania's land registry database,https://news.risky.biz/risky-bulletin-hacker-wipes-romanias-entire-land-registry-database/,571,325,speckx,https://news.ycombinator.com/item?id=48978605
Jellyfin founder Andrew leaves team,https://forum.jellyfin.org/t-project-leadership-changes,36,9,swat535,https://news.ycombinator.com/item?id=48986091
Nativ: Run frontier open models locally on your Mac,https://blaizzy.github.io/nativ/,178,71,aratahikaru5,https://news.ycombinator.com/item?id=48982681
The Psychology of Software Teams,https://www.routledge.com/The-Psychology-of-Software-Teams/Hicks/p/book/9781032963389,25,5,dcre,https://news.ycombinator.com/item?id=48923130
"Show HN: Immersive Gaussian Splat tour of grace cathedral, San Francisco",https://vincentwoo.com/3d/grace_cathedral/,74,14,akanet,https://news.ycombinator.com/item?id=48984254
Airport Simulator,https://airport.apunen.com/,706,142,apunen,https://news.ycombinator.com/item?id=48976846
