coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,75387.0,1510442751142.6492,-2.8384836173539876,2026-05-23T02:12:07.414068,📉
cardano,0.243661,9015564605.7716,-2.8020152633272875,2026-05-23T02:12:07.414076,📉
ethereum,2065.44,249276014320.97128,-3.292593856355036,2026-05-23T02:12:07.414078,📉
polkadot,1.25,2112234663.379946,-3.5683319729801077,2026-05-23T02:12:07.414080,📉
solana,84.34,48756073624.806595,-3.078647510919784,2026-05-23T02:12:07.414082,📉
