name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,511944,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-06-05T02:36:00Z
sindresorhus/awesome,472981,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-06-05T02:36:17Z
freeCodeCamp/freeCodeCamp,446090,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-06-05T02:35:49Z
public-apis/public-apis,439407,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-06-05T02:33:54Z
EbookFoundation/free-programming-books,389695,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-06-05T02:36:58Z
openclaw/openclaw,376883,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-06-05T02:36:15Z
nilbuild/developer-roadmap,356278,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-06-05T01:55:53Z
donnemartin/system-design-primer,351787,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-06-05T02:35:19Z
jwasham/coding-interview-university,349778,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-06-05T02:37:32Z
vinta/awesome-python,301319,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-06-05T02:35:30Z
