name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,452422,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-12-28T01:09:34Z
freeCodeCamp/freeCodeCamp,435336,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-12-28T00:50:18Z
sindresorhus/awesome,425417,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-12-28T01:10:38Z
public-apis/public-apis,388151,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-12-28T01:05:59Z
EbookFoundation/free-programming-books,379405,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-12-28T00:59:45Z
kamranahmedse/developer-roadmap,346186,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-12-27T22:32:13Z
jwasham/coding-interview-university,335337,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-12-28T00:06:16Z
donnemartin/system-design-primer,330472,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-12-28T01:11:16Z
vinta/awesome-python,275674,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-12-28T01:09:00Z
996icu/996.ICU,275087,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-12-27T19:41:26Z
