title,url,score,comments,by,hn_url
Saving 100 terabytes of memory by optimizing 1.1.1.1's DNS cache,https://blog.cloudflare.com/dns-cache-memory-optimization-1111/,706,212,TangerineDream,https://news.ycombinator.com/item?id=49468083
Small Models Have Arrived,https://calv.info/small-models-have-arrived,608,277,tosh,https://news.ycombinator.com/item?id=49466917
Sovereign Tech Agency invests €500k in Flatpak,https://modal.cx/blog/announcing-flatpak-sta/,66,28,eigenspace,https://news.ycombinator.com/item?id=49474786
"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",https://github.com/elyosh/OpenTIE/,150,37,elyosh,https://news.ycombinator.com/item?id=49471965
507 Mechanical Movements,https://507movements.com/,562,72,helloplanets,https://news.ycombinator.com/item?id=49465169
Gemini-3.5-Transcribe,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5-transcribe/,257,81,k9294,https://news.ycombinator.com/item?id=49468818
Microduck,https://pollen-robotics.com/microduck/,629,209,robotswantdata,https://news.ycombinator.com/item?id=49462763
We found a division by zero bug in FFmpeg with a vibecoded fuzzer,https://code.ffmpeg.org/FFmpeg/FFmpeg/issues/24290,228,172,dclavijo,https://news.ycombinator.com/item?id=49468642
Doctors are finally learning to manage antidepressant withdrawal,https://www.newscientist.com/article/2584861-antidepressant-withdrawal-symptoms-are-prompting-a-radical-rethink-of-how-we-treat-depression/,100,92,eutropheon,https://news.ycombinator.com/item?id=49472090
Terminal-Bench-Science: Evaluating AI agents on scientific research workflows,https://www.terminal-bench-science.ai/announcement,72,23,matt_d,https://news.ycombinator.com/item?id=49472820
