name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,479851,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-18T01:23:25Z
sindresorhus/awesome,446390,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-18T01:22:38Z
freeCodeCamp/freeCodeCamp,438392,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-18T01:15:42Z
public-apis/public-apis,411541,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-18T01:23:31Z
EbookFoundation/free-programming-books,384146,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-18T01:12:44Z
kamranahmedse/developer-roadmap,351072,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-18T01:17:32Z
donnemartin/system-design-primer,339208,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-18T01:15:29Z
jwasham/coding-interview-university,337893,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-18T01:03:44Z
openclaw/openclaw,320488,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-18T01:23:42Z
vinta/awesome-python,287650,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-18T01:13:39Z
