name,stars,language,description,url,created_at
ashemag/human-atlas,2473,TypeScript,"Open-source 3D anatomy explorer: 2,234 selectable BodyParts3D meshes, system layers, search, and exp",https://github.com/ashemag/human-atlas,2026-09-05T00:24:43Z
Albert-Weasker/niubigeo,2169,TypeScript,Open-source AI brand visibility and competitor reports,https://github.com/Albert-Weasker/niubigeo,2026-09-03T15:55:54Z
Rion-Wu-tech/wechat-intelligence-hub,1946,Python,"Local-first WeChat intelligence system with a read-only CLI, Codex skills, searchable chat history, ",https://github.com/Rion-Wu-tech/wechat-intelligence-hub,2026-09-04T15:00:53Z
EverettFish/holo-card-studio,1134,Python,"Turn the user's description or uploaded reference into a finished, editable Blender card and an inte",https://github.com/EverettFish/holo-card-studio,2026-09-07T00:41:18Z
vinzdg/codenotch,1113,Swift,"A macOS app that pins usage limits from Claude Code, Cursor, Codex, and Antigravity to a screen edge",https://github.com/vinzdg/codenotch,2026-09-05T14:55:35Z
anthropics/fermats-last-theorem,979,Lean,No description,https://github.com/anthropics/fermats-last-theorem,2026-09-04T14:21:04Z
danielblnc/DLSS-NR-on-AMD,935,N/A,Run DLSS 5 Neural Rendering on your AMD GPU. Magic!,https://github.com/danielblnc/DLSS-NR-on-AMD,2026-09-03T00:42:03Z
openai/NavierStokesAndEuler,903,Lean,Lean certificates accompanying Navier-Stokes and Euler results,https://github.com/openai/NavierStokesAndEuler,2026-09-08T10:53:38Z
ahujasid/camera-to-blender,775,JavaScript,"Take a photo of real objects, and paste them in Blender",https://github.com/ahujasid/camera-to-blender,2026-09-03T10:34:30Z
kajisho5/ffmpeg-skill,743,Python,No description,https://github.com/kajisho5/ffmpeg-skill,2026-09-03T14:33:38Z
