name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,484401,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-30T01:45:56Z
sindresorhus/awesome,449957,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-30T01:42:37Z
freeCodeCamp/freeCodeCamp,439193,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-30T01:40:59Z
public-apis/public-apis,417315,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-30T01:34:16Z
EbookFoundation/free-programming-books,384705,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-30T01:35:17Z
kamranahmedse/developer-roadmap,351833,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-30T01:44:31Z
donnemartin/system-design-primer,340607,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-30T01:38:25Z
openclaw/openclaw,340556,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-30T01:46:23Z
jwasham/coding-interview-university,338302,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-30T01:42:20Z
vinta/awesome-python,289633,Python,"An opinionated list of Python frameworks, libraries, tools, and resources.",https://github.com/vinta/awesome-python,2026-03-30T01:38:44Z
