name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,480784,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-19T01:23:40Z
sindresorhus/awesome,446736,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-19T01:21:21Z
freeCodeCamp/freeCodeCamp,438438,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-19T01:18:19Z
public-apis/public-apis,411945,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-19T01:22:09Z
EbookFoundation/free-programming-books,384179,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-19T01:23:53Z
kamranahmedse/developer-roadmap,351119,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-19T01:16:49Z
donnemartin/system-design-primer,339327,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-19T01:19:08Z
jwasham/coding-interview-university,337911,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-19T01:19:55Z
openclaw/openclaw,323070,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-19T01:23:40Z
vinta/awesome-python,287843,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-19T01:08:24Z
