name,stars,language,description,url,created_at
xai-org/grok-build,18885,Rust,"SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible.",https://github.com/xai-org/grok-build,2026-07-14T20:04:23Z
Fei-Away/Codex-Dream-Skin,9761,JavaScript,Codex Dream Skin,https://github.com/Fei-Away/Codex-Dream-Skin,2026-07-15T12:34:51Z
CluvexStudio/Aether,1256,Rust,No description,https://github.com/CluvexStudio/Aether,2026-07-14T14:20:44Z
pixel-point/aval,1211,TypeScript,"A new open-source format for interactive video on the web, with a built-in state machine, frame-accu",https://github.com/pixel-point/aval,2026-07-13T07:42:51Z
littledivy/mimic,1176,Python,"Intercept any app, then call it from Python like a library",https://github.com/littledivy/mimic,2026-07-13T05:13:00Z
tandpfun/wardrobe,1053,JavaScript,"Your clothes, extracted and organized with gpt-image.",https://github.com/tandpfun/wardrobe,2026-07-16T06:17:00Z
oil-oil/beautify-github-readme,818,Python,"Design clear, theme-specific GitHub README homepages with SVG titles, real proof, and maintainable M",https://github.com/oil-oil/beautify-github-readme,2026-07-13T07:31:56Z
nethical6/conversation-steganography,697,Go,Use LLMs to hide messages inside normal looking conversations,https://github.com/nethical6/conversation-steganography,2026-07-17T04:58:22Z
KubeezMedia/kubeez-scroll-world-video,653,JavaScript,"Scroll-scrubbed 'fly through the world' burger demo, generated with Kubeez. Live: meepcastana.github",https://github.com/KubeezMedia/kubeez-scroll-world-video,2026-07-13T23:32:54Z
MatinSenPai/Aether-GUI,597,TypeScript,"One-click desktop GUI for the Aether censorship-circumvention tunnel — Tauri v2, React 19, Rust",https://github.com/MatinSenPai/Aether-GUI,2026-07-14T20:13:18Z
