title,url,score,comments,by,hn_url
iCloud+ Hide My Email addresses will remain on icloud.com,https://developer.apple.com/news/?id=1ptvdtcm,180,36,K7PJP,https://news.ycombinator.com/item?id=49426564
"Xiaomi: New CPU matches Apple cores single threaded, much faster multithreaded",https://twitter.com/lemire/status/2091894299289874926,713,476,tosh,https://news.ycombinator.com/item?id=49420873
Moon (2024),https://ciechanow.ski/moon/,82,13,simonebrunozzi,https://news.ycombinator.com/item?id=49426466
MS Paint and Photos inivisibly watermark even locally generated output with GUID,https://xusheng.dev/posts/reversing/mspaint_invisible_watermark/main/,540,218,ComputerGuru,https://news.ycombinator.com/item?id=49421158
The entire city of San Francisco as a video game,https://sf.thijs.gg/,323,113,centrosphere,https://news.ycombinator.com/item?id=49422784
One corner of China’s internet is insisting that the Tang Dynasty never existed,https://www.cnn.com/2026/08/19/style/china-tang-dynasty-never-existed-hoax-intl-hnk,115,88,related,https://news.ycombinator.com/item?id=49425819
How Europe is killing makers and micro-entrepreneurs,https://lectronz.com/u/lectronz/articles/how-europe-is-killing-makers-and-micro-entrepreneurs,1035,649,l-one-lone,https://news.ycombinator.com/item?id=49419237
Bookshelf – Self-hosted eBook library that runs on object storage,https://github.com/murerkinn/bookshelf,20,3,arbayi,https://news.ycombinator.com/item?id=49427001
Where did all the public bathrooms go?,https://daily.jstor.org/where-did-all-the-public-bathrooms-go/,137,283,herbertl,https://news.ycombinator.com/item?id=49422800
Jabber/XMPP: 25 Years of Digital Independence,https://gultsch.de/posts/25-years-of-digital-independence/,162,63,inputmice,https://news.ycombinator.com/item?id=49421536
