name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,514478,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-06-12T02:43:05Z
sindresorhus/awesome,474932,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-06-12T02:40:37Z
freeCodeCamp/freeCodeCamp,446632,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-06-12T02:42:03Z
public-apis/public-apis,440897,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-06-12T02:44:01Z
EbookFoundation/free-programming-books,390109,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-06-12T02:33:10Z
openclaw/openclaw,378242,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-06-12T02:42:35Z
nilbuild/developer-roadmap,356793,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-06-12T02:35:35Z
donnemartin/system-design-primer,352679,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-06-12T02:12:00Z
jwasham/coding-interview-university,351166,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-06-12T02:30:59Z
vinta/awesome-python,302431,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-06-12T02:32:04Z
