name,stars,language,description,url,created_at
deepseek-ai/DeepSpec,5756,Python,DeepSpec: a full-stack codebase for training and evaluating speculative decoding algorithms,https://github.com/deepseek-ai/DeepSpec,2026-06-26T12:36:05Z
Krishnagangwal/CS-Fundamentals,1332,N/A,"Curated CS fundamentals for placement prep: DSA,Computer Networks, DBMS & SQL, OOPs, Operating Syste",https://github.com/Krishnagangwal/CS-Fundamentals,2026-06-28T07:08:15Z
yynxxxxx/Codex-5.5-codex-instruct-5.5,1018,Python,No description,https://github.com/yynxxxxx/Codex-5.5-codex-instruct-5.5,2026-06-28T10:24:42Z
Kulaxyz/self-learning-skills,752,N/A,"A self-improving skill for AI coding agents (Claude Code, Cursor, AGENTS.md): recognize a hard-won g",https://github.com/Kulaxyz/self-learning-skills,2026-06-28T19:30:36Z
TianhangZhuzth/Fundamental-Ava,721,Python,"Build digital human beings — autonomous, collaborative, and socially intelligent agents. FNzgGxU31RW",https://github.com/TianhangZhuzth/Fundamental-Ava,2026-06-30T01:04:13Z
mekos2772/ios-location-spoofer,704,JavaScript,Standalone iOS app to spoof GPS location without jailbreak. Includes Shadowrocket/Surge/Loon/QX/Stas,https://github.com/mekos2772/ios-location-spoofer,2026-06-30T11:20:30Z
aquace/CVE-2026-41940-PoC,571,Python,CVE-2026-41940 authentication bypass vulnerability proof-of-concept,https://github.com/aquace/CVE-2026-41940-PoC,2026-06-28T07:13:52Z
Pluviobyte/video-production-skills,492,Python,"Reusable AI video production skills library for creation, recreation, motion design, openers, and QA",https://github.com/Pluviobyte/video-production-skills,2026-06-26T05:50:51Z
CopilotKit/OpenTag,490,TypeScript,OpenTag,https://github.com/CopilotKit/OpenTag,2026-06-26T04:34:01Z
diinki/linux-antiquity,441,QML,"A highly tasteful Linux-theme, reminiscent of art-nouveau and old drawings related to astronomy, sci",https://github.com/diinki/linux-antiquity,2026-06-27T23:06:00Z
