title,url,score,comments,by,hn_url
Previewing GPT‑5.6 Sol: a next-generation model,https://openai.com/index/previewing-gpt-5-6-sol/,860,514,minimaxir,https://news.ycombinator.com/item?id=48689028
"Why does kinetic energy increase quadratically, not linearly, with speed? (2011)",https://physics.stackexchange.com/questions/535/why-does-kinetic-energy-increase-quadratically-not-linearly-with-speed,96,42,ProxyTracer,https://news.ycombinator.com/item?id=48692946
A C++ implementation of a fast hash map and hash set using hopscotch hashing,https://github.com/Tessil/hopscotch-map,67,11,gjvc,https://news.ycombinator.com/item?id=48692090
MicroVMs: Run isolated sandboxes with full lifecycle control,https://aws.amazon.com/blogs/aws/run-isolated-sandboxes-with-full-lifecycle-control-aws-lambda-introduces-microvms/,269,152,justincormack,https://news.ycombinator.com/item?id=48642510
U.S. government will decide who gets to use GPT-5.6,https://www.washingtonpost.com/technology/2026/06/26/openai-says-us-government-will-vet-users-its-latest-ai-model/,841,940,alain94040,https://news.ycombinator.com/item?id=48690101
Show HN: Hacker News on a Train Station Style Flip Board,https://popflame.quickish.space/hn-flipboard/,9,0,PaybackTony,https://news.ycombinator.com/item?id=48693912
AI in mathematics is forcing big questions,https://spectrum.ieee.org/ai-in-mathematics,46,20,rbanffy,https://news.ycombinator.com/item?id=48692883
The gap between open weights LLMs and closed source LLMs,https://blog.doubleword.ai/frontier-os-llm,126,105,kkm,https://news.ycombinator.com/item?id=48692058
We can still stop California's 3D printer surveillance scheme,https://www.eff.org/deeplinks/2026/06/we-can-still-stop-californias-3d-printer-surveillance-scheme,240,75,hn_acker,https://news.ycombinator.com/item?id=48692051
A Tiny Compiler for Data-Parallel Kernels,https://healeycodes.com/a-tiny-compiler-for-data-parallel-kernels,28,3,healeycodes,https://news.ycombinator.com/item?id=48673115
